StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Welcome,Age,Gender,Race,Location,Video_Control_Time_First Click,Video_Control_Time_Last Click,Video_Control_Time_Page Submit,Video_Control_Time_Click Count,Video_Treatment_Time_First Click,Video_Treatment_Time_Last Click,Video_Treatment_Time_Page Submit,Video_Treatment_Time_Click Count,Personal_Views_Confident,Personal_Views_Beautiful,Personal_Views_Beauty_Importance,Personal_Views_Relate_To_Model,Passion_i_identify_1,Passion_i_prefer_1,Passion_o_prefer_1,Passion_validate_1,Passion_i_identify_2,Passion_i_prefer_2,Passion_o_prefer_2,Passion_validate_2,Coffee_i_identify_1,Coffee_i_prefer_1,Coffee_o_prefer_1,Coffe_validate_1,Coffee_i_identify_2,Coffee_i_prefer_2,Coffee_o_prefer_2,Coffee_validate_2,Couple_i_identify_1,Couple_i_prefer_1,Couple_o_prefer_1,Couple_validate_1,Couple_i_identify_2,Couple_i_prefer_2,Couple_o_prefer_2,Couple_validate_2,Work_i_identify_1,Work_i_prefer_1,Work_o_prefer_1,Work_validate_1,work_i_identify_2,Work_i_prefer_2,Work_o_prefer_2,Work_validate_2,FIt_i_identify_1,Fit_i_prefer_1,Fit_o_prefer_1,Fit_validate_1,Fit_i_identify_2,Fit_i_prefer_2,Fit_o_prefer_2,Fit_validate_2,Group,Q9_6_TEXT - Topics
2017-07-05 16:19:50,2017-07-05 16:22:17,IP Address,192.55.54.45,100,147,True,2017-07-05 16:22:18,R_uaIaXM0s3RQ6wM1,,,,,45.523406982422,-122.6762008667,anonymous,EN,I agree,45 - 54,Female,White,Oregon,0,0,31.077,0,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,,,,,,,,Ad 2,Ad 2,Ad 1,Ad 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-05 17:20:57,2017-07-05 17:24:05,IP Address,192.55.54.42,100,188,True,2017-07-05 17:24:06,R_3forOabCUGWVP8J,,,,,34.054397583008,-118.2440032959,anonymous,EN,I agree,35 - 44,Female,Asian,Oregon,0,0,31.047,0,,,,,Strongly agree,Agree,Disagree,Disagree,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Control,
2017-07-05 17:21:44,2017-07-05 17:24:38,IP Address,192.55.54.42,100,174,True,2017-07-05 17:24:39,R_33dVlXPBn3i2uCL,,,,,34.054397583008,-118.2440032959,anonymous,EN,I agree,45 - 54,Female,White,Oregon,,,,,0,0,30.052,0,Strongly agree,Strongly agree,Strongly disagree,Disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Treatment,
2017-07-05 19:51:31,2017-07-05 19:58:41,IP Address,128.107.241.183,100,429,True,2017-07-05 19:58:41,R_vACmOvvuBCJiQEh,,,,,37.338806152344,-121.89140319824,anonymous,EN,I agree,25 - 34,Male,White,California,34.719,34.719,34.885,1,,,,,Agree,Agree,Disagree,Disagree,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Ad 2,Ad 2,Ad 2,Ad 2,,,,,Control,
2017-07-05 21:08:09,2017-07-05 21:12:16,IP Address,73.239.74.140,100,246,True,2017-07-05 21:12:17,R_3NOhAFJHZoLwA5b,,,,,47.680099487305,-122.12060546875,anonymous,EN,I agree,35 - 44,Female,White,Washington,,,,,0,0,30.052,0,Agree,Agree,Disagree,Strongly disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,Ad 2,Ad 1,Ad 2,Ad 2,Treatment,
2017-07-05 22:37:41,2017-07-05 22:37:51,IP Address,47.17.45.3,2,10,False,2017-07-06 02:37:46,R_33pxfAj3QvQWJ7Y,,,,,,,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06 09:10:39,2017-07-06 09:14:49,IP Address,107.77.213.138,100,249,True,2017-07-06 09:14:49,R_Ao1VxgJEajY64HD,,,,,37.804397583008,-122.27079772949,anonymous,EN,I agree,35 - 44,Male,White,California,,,,,0,0,30.06,0,Agree,Agree,Disagree,Disagree,,,,,Ad 1,Ad 2,Ad 2,Ad 2,Ad 1,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,Ad 1,,,,,Treatment,
2017-07-06 09:23:00,2017-07-06 09:25:45,IP Address,73.241.3.72,100,164,True,2017-07-06 09:25:45,R_3MAq7pyS5HBNTMz,,,,,37.342193603516,-121.88330078125,anonymous,EN,I agree,25 - 34,Male,Asian,California,0,0,31.023,0,,,,,Agree,Agree,Disagree,Strongly disagree,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Ad 2,Ad 2,Ad 2,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Control,
2017-07-06 09:26:18,2017-07-06 09:28:17,IP Address,73.78.154.177,100,118,True,2017-07-06 09:28:18,R_10H0XGv21BKYx6X,,,,,38.831207275391,-104.80819702148,anonymous,EN,I agree,35 - 44,Male,White,Colorado,,,,,0,0,30.057,0,Strongly agree,Disagree,Disagree,Agree,,,,,,,,,Ad 2,Ad 2,Ad 1,Ad 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-06 09:28:02,2017-07-06 09:30:30,IP Address,73.222.185.166,100,148,True,2017-07-06 09:30:31,R_2QuK63PvH4kkvPh,,,,,37.044799804688,-122.10209655762,anonymous,EN,I agree,25 - 34,Male,White,California,0,0,31.058,0,,,,,Strongly agree,Agree,Disagree,Strongly disagree,,,,,Ad 1,Ad 1,Ad 2,Ad 1,,,,,,,,,,,,,,,,,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,,,,,Control,
2017-07-06 10:05:30,2017-07-06 10:08:29,IP Address,73.231.134.11,100,178,True,2017-07-06 10:08:30,R_2b1aJzlWYQriW8O,,,,,37.830902099609,-122.21960449219,anonymous,EN,I agree,35 - 44,Female,White,California,,,,,0,0,30.081,0,Strongly agree,Strongly agree,Agree,Disagree,,,,,Ad 2,Ad 2,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,,,,,Treatment,
2017-07-06 10:12:13,2017-07-06 10:16:02,IP Address,73.241.7.86,100,228,True,2017-07-06 10:16:02,R_5C1al4XcB5AY9hf,,,,,37.342193603516,-121.88330078125,anonymous,EN,I agree,35 - 44,Male,Other,California,0,0,31.102,0,,,,,Strongly agree,Agree,Disagree,Disagree,Ad 2,Ad 2,Ad 1,Ad 2,,,,,,,,,,,,,,,,,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,Ad 1,,,,,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Control,
2017-07-06 10:23:39,2017-07-06 10:27:58,IP Address,73.162.160.218,100,258,True,2017-07-06 10:28:00,R_1NbryHUk68qn0eV,,,,,37.425003051758,-121.94599914551,anonymous,EN,I agree,25 - 34,Female,White,California,0,0,31.121,0,,,,,Agree,Agree,Strongly disagree,Strongly disagree,Ad 1,Ad 2,Ad 2,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Control,
2017-07-06 10:28:10,2017-07-06 10:31:11,IP Address,223.229.255.114,100,180,True,2017-07-06 10:31:11,R_2fljy45Ld492K9J,,,,,18.975006103516,72.825805664062,anonymous,EN,I agree,25 - 34,Male,Other,I do not reside in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06 10:42:38,2017-07-06 10:46:41,IP Address,172.58.32.57,100,243,True,2017-07-06 10:46:41,R_x5AaG3SHFCkOced,,,,,37.338806152344,-121.89140319824,anonymous,EN,I agree,25 - 34,Male,White,California,,,,,3.58,3.58,30.055,1,Agree,Agree,Agree,Strongly disagree,,,,,Ad 2,Ad 2,Ad 1,Ad 2,Ad 1,Ad 1,Ad 2,Ad 1,,,,,,,,,Ad 2,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Treatment,
2017-07-06 11:05:54,2017-07-06 11:07:30,IP Address,200.76.90.17,100,96,True,2017-07-06 11:07:30,R_czIIRLW6XWXwH1T,,,,,19.437103271484,-99.011100769043,anonymous,EN,I agree,25 - 34,Male,Other,I do not reside in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06 11:20:00,2017-07-06 11:24:48,IP Address,172.56.38.41,100,288,True,2017-07-06 11:24:49,R_1lxHNANjkRYRlRc,,,,,37.342193603516,-121.90519714355,anonymous,EN,I agree,35 - 44,Female,Black or African American,California,,,,,0,0,30.085,0,Strongly agree,Strongly agree,Agree,Disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Ad 2,Ad 2,Ad 2,Ad 1,,,,,,,,,Ad 2,Ad 2,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Treatment,
2017-07-06 11:42:51,2017-07-06 11:45:21,IP Address,208.95.187.16,100,150,True,2017-07-06 11:45:22,R_2YsKkQQ3tFfvRGX,,,,,37.255493164062,-121.92449951172,anonymous,EN,I agree,25 - 34,Male,Other,California,30.334,30.334,31.023,1,,,,,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 1,Ad 2,Ad 1,,,,,Ad 2,Ad 2,Ad 1,Ad 1,,,,,Control,
2017-07-06 11:49:41,2017-07-06 11:50:04,IP Address,74.217.76.101,100,22,True,2017-07-06 11:50:05,R_3G2HYq1DsOTiLCm,,,,,37.721694946289,-122.44439697266,anonymous,EN,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06 13:11:19,2017-07-06 13:13:24,IP Address,73.189.175.182,100,125,True,2017-07-06 13:13:25,R_3lrkMoXiSvqdXvq,,,,,37.35009765625,-121.98539733887,anonymous,EN,I agree,25 - 34,Female,White,California,0,0,31.022,0,,,,,Disagree,Disagree,Disagree,Disagree,Ad 2,Ad 2,Ad 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ad 2,Ad 2,Ad 1,Ad 1,,,,,Control,
2017-07-06 09:15:00,2017-07-06 09:17:35,IP Address,70.197.8.181,26,154,False,2017-07-06 13:15:04,R_3PgXVF1oi00dlbw,,,,,,,anonymous,EN,I agree,35 - 44,Male,White,California,,,,,10.982,10.982,30.164,1,Strongly agree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-06 09:17:20,2017-07-06 09:18:28,IP Address,73.71.6.239,8,67,False,2017-07-06 13:17:46,R_xEMzJ9SQeVaHUUV,,,,,,,anonymous,EN,I agree,18 - 24,Female,White,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-06 09:17:36,2017-07-06 09:24:12,IP Address,216.252.222.248,98,396,False,2017-07-06 13:17:48,R_2wgXRZXea2r8wI4,,,,,,,anonymous,EN,I agree,18 - 24,Female,Asian,California,,,,,28.261,29.811,30.067,2,Strongly agree,Strongly agree,Agree,Agree,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,Ad 2,Ad 1,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Treatment,
2017-07-06 09:26:20,2017-07-06 09:26:46,IP Address,24.5.245.147,8,25,False,2017-07-06 13:26:38,R_0Ih5jOEcqLrwivT,,,,,,,anonymous,EN,I agree,25 - 34,Male,Asian,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-06 09:35:40,2017-07-06 09:36:20,IP Address,216.59.106.254,8,39,False,2017-07-06 13:35:53,R_0ugYFVyXbvWEFEZ,,,,,,,anonymous,EN,I agree,25 - 34,Female,White,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-06 09:45:08,2017-07-06 13:02:41,IP Address,173.38.117.72,16,11853,False,2017-07-06 13:45:09,R_2sTuzYWny0LNlUJ,,,,,,,anonymous,EN,I agree,18 - 24,Female,White,North Carolina,,,,,0,0,30.037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
